path,category
data\raw\noise\freenoise\127846__garyq__slow-mo_gunshots.wav,impulsive
data\raw\noise\freenoise\165391__shawnyboy__machine-gunshots.wav,impulsive
data\raw\noise\freenoise\165394__shawnyboy__heavy-machine_gunshots.wav,impulsive
data\raw\noise\freenoise\178476__digitaldominic__machinegun_gunshots.wav,impulsive
data\raw\noise\freenoise\180961__kleeb__gunshots.wav,impulsive
data\raw\noise\freenoise\238247__18hiltc__gunshots.wav,impulsive
data\raw\noise\freenoise\244770__syntaxseed__fireworks_gunshots.flac,impulsive
data\raw\noise\freenoise\26141__wim__gunshots.wav,impulsive
data\raw\noise\freenoise\262436__the_sound_side__real_explosions_real_gunshots.wav,impulsive
data\raw\noise\freenoise\36815__watupgroupie__gunshots.wav,impulsive
data\raw\noise\freenoise\36815__watupgroupie__gunshots_2.wav,impulsive
data\raw\noise\freenoise\415912__okieactor__heathers_gunshots_effect2.wav,impulsive
data\raw\noise\freenoise\417691__superphat__huge_explosions_in-distance.wav,impulsive
data\raw\noise\freenoise\500795__bratish__big_explosions.wav,impulsive
data\raw\noise\freenoise\516914__kinoton__explosions_medium-blast.wav,impulsive
data\raw\noise\freenoise\520747__nathanchurchyard__lmg_gunshots.wav,impulsive
data\raw\noise\freenoise\546910__angelmourvaldi__gunshots.wav,impulsive
data\raw\noise\freenoise\556944__eminyildirim__explosions.wav,impulsive
data\raw\noise\freenoise\562309__grimmreapersounds__ground-zero-battlegrounds_gunshots.wav,impulsive
data\raw\noise\freenoise\563010__florianreichelt__explosions.wav,impulsive
data\raw\noise\freenoise\568140__zerono1__explosions_detonation.wav,impulsive
data\raw\noise\freenoise\571272__princeofworms__two_gunshots_one-body-falling-outside.wav,impulsive
data\raw\noise\freenoise\650643__greenbird11__gunshots.wav,impulsive
data\raw\noise\freenoise\678527__jd_brick_productions__gunshots_rifle.wav,impulsive
data\raw\noise\freenoise\718948__tb0y298__gunshots.wav,impulsive
data\raw\noise\freenoise\728763__techspiredminds__explosions.wav,impulsive
data\raw\noise\freenoise\737321__modusmogulus__pipe-bomb_explosions.wav,impulsive
data\raw\noise\freenoise\737326__modusmogulus__flashbang_explosions.wav,impulsive
data\raw\noise\freenoise\750952__iainmccurdy__explosions_synthesised.wav,impulsive
data\raw\noise\freenoise\752630__modusmogulus__explosions_and-schrapnel-fly-by.wav,impulsive
data\raw\noise\freenoise\833318__malikarsyasakani__homemade-gunshots-01.wav,impulsive
data\raw\noise\freenoise\any_gunshots.wav,impulsive
data\raw\noise\freenoise\gunshots_1.wav,impulsive
data\raw\noise\freenoise\gunshots_2.wav,impulsive
data\raw\noise\freenoise\gunshots_3.wav,impulsive
data\raw\noise\freenoise\gunshots_4.wav,impulsive
data\raw\noise\freenoise\gunshots_5.wav,impulsive
data\raw\noise\freenoise\gunshots_6.wav,impulsive
data\raw\noise\freenoise\gunshots_7.wav,impulsive
data\raw\noise\esc50\ESC-50-master\audio\1-100032-A-0.wav,unknown
data\raw\noise\esc50\ESC-50-master\audio\1-100038-A-14.wav,unknown
data\raw\noise\esc50\ESC-50-master\audio\1-100210-A-36.wav,unknown
